;X;Aorta_ID;Diet;Total_plaque_vol;DESC;ARCH;LSA;LCCA;BCA;Total_plaque_objects;Object_ID;Object_mm3;Major_axis;Minor_axis;Extent;Location;CD45_mm3
90;89;3;ApoE-/- WD;0,583197794163706;0,0139732992574993;0,354400867585187;0,0345860234673437;0,0216212526026637;0,158616351251011;44;2;0,228481560329328;274,71221624973;107,050216244384;0,103736528975852;5;0,0423993831921856
95;94;3;ApoE-/- WD;0,583197794163706;0,0139732992574993;0,354400867585187;0,0345860234673437;0,0216212526026637;0,158616351251011;44;7;6,11424360675435e-05;11,0889269718951;6,82851918193049;0,301587301587302;4;0
96;95;3;ApoE-/- WD;0,583197794163706;0,0139732992574993;0,354400867585187;0,0345860234673437;0,0216212526026637;0,158616351251011;44;8;0,000738214464941814;45,2039072568208;12,3801727462;0,159504936726464;4;4,76267396736654e-05
98;97;3;ApoE-/- WD;0,583197794163706;0,0139732992574993;0,354400867585187;0,0345860234673437;0,0216212526026637;0,158616351251011;44;10;0,0569924736700327;154,564408332039;69,0340668853272;0,09618568033403;3;0,0301457953996597
99;98;3;ApoE-/- WD;0,583197794163706;0,0139732992574993;0,354400867585187;0,0345860234673437;0,0216212526026637;0,158616351251011;44;11;0,305496572800005;278,99027710103;175,361722401767;0,0808755375629571;2;0,0454919032480229
100;99;3;ApoE-/- WD;0,583197794163706;0,0139732992574993;0,354400867585187;0,0345860234673437;0,0216212526026637;0,158616351251011;44;12;3,08930203288641e-05;9,63833766873758;6,74091178272002;0,244897959183673;3;5,79244131166201e-06
101;100;3;ApoE-/- WD;0,583197794163706;0,0139732992574993;0,354400867585187;0,0345860234673437;0,0216212526026637;0,158616351251011;44;13;0,000239420907548696;18,471721019957;11,6317952702641;0,272527472527473;4;0
102;101;3;ApoE-/- WD;0,583197794163706;0,0139732992574993;0,354400867585187;0,0345860234673437;0,0216212526026637;0,158616351251011;44;14;0,0115861698325044;80,5454614408649;33,9406170251367;0,174585163849369;2;0,00322317178764482
103;102;3;ApoE-/- WD;0,583197794163706;0,0139732992574993;0,354400867585187;0,0345860234673437;0,0216212526026637;0,158616351251011;44;15;5,72808085264355e-05;14,7113153961674;10,0215072414822;0,161818181818182;2;0
104;103;3;ApoE-/- WD;0,583197794163706;0,0139732992574993;0,354400867585187;0,0345860234673437;0,0216212526026637;0,158616351251011;44;16;6,17860406577281e-05;14,6365202995816;6,99068579642991;0,256;2;0
